UNITID,F1A13,F1A18,F1B25,I       
174251,5930398,66923784,51864775,
174358,62113000,89088000,109135000,
174376,14920000,46556000,46534000,
174428,38457000,54236000,67993000,
174473,11844000,31675000,35399000,
174570,3035000,6626000,13825000,
174604,1213000,3262000,5085000,
174738,16365000,66870000,53582000,
174756,14665000,42575000,37919000,
174783,93644000,163661000,215216000,
175041,18472000,46127000,49143000,
175078,35338000,65823000,54164000,
175157,3079000,5832000,9679000,
175236,12993000,28901000,43172000,
175263,7847000,14822000,22447000,
175272,92287000,150606000,135885000,
175315,30371000,54160000,80394000,
175342,61392729,130962993,79319507,
175519,1580329,37209285,37831681,
175573,11533450,37540924,52296594,
175616,14028330,92865415,71355946,
175643,3790485,20657594,39002368,
175652,5791341,46574285,54082030,
175786,61241185,132366382,151257314,
175810,15207916,36390002,54326799,
175829,21321321,79156960,105126896,
175856,118367191,180222020,185716409,
175883,23637415,68664550,56920721,
175935,4702758,34352523,38333219,
175999,33802660,61362662,69046363,
176008,2830639,42131028,35222932,
176017,197939376,722860789,433111973,
176026,362936026,688266496,1007097519,
176035,5792109,91082123,44368168,
176044,23487171,57071449,64949296,
176071,63064034,122026689,97285290,
176080,245221358,635367129,616371267,
176169,4258912,40145870,39403737,
176178,7242464,91268192,72646173,
176239,9157040,88841419,68717720,
176354,2270385,40253586,24002987,
176372,205033460,378963822,318918636,
176734,,,293317,
176798,,,2766922,
176965,99672508,176783562,181521814,
176983,,,4160587,
177056,,,1723283,
177135,8347414,37359628,38533102,
177250,27201012,33587081,30310061,
177436,,,2379869,
177472,13129837,21986890,75560444,
177551,22558899,38487661,31003707,
177676,28564789,36070313,50267525,
177807,,,205581,
177870,,,350250,
177940,33195880,75479043,55682208,
177977,11928098,43100337,34861020,
178129,121564911,123314689,145886483,
178217,16006074,19525522,35721770,
178341,35680417,84234244,75620588,
178387,50356286,74883821,85164695,
178396,1132787639,2305220075,1881091637,
178402,191999342,390424139,357771830,
178411,91539588,339992137,188058600,
178420,100389251,289881794,221701200,
178439,1024080819,355216957,149632109,
178448,3592685,26889424,29604690,
178466,,,2380409,
178563,,,993519,
178615,79735798,229065010,109233469,
178624,97949115,102142256,106354964,
178828,,,556149,
179052,,,2256566,
179238,,,835949,
179283,59941528,165691083,229872680,
179344,1490349,17791754,13387909,
179539,2322430,28860369,34023014,
179557,129653523,281972995,172465531,
179566,128781583,378002837,291184138,
179645,8094339,15722405,22545187,
179715,5778944,24281324,26512260,
179724,,,414054,
179742,,,291385,
180151,5902240,8772365,7803796,
180160,864992,5829467,6172167,
180179,29199803,61244649,67870258,
180197,21057780,17719957,35010192,
180203,229323,8269670,7673440,
180212,3065274,9177144,9986672,
180249,3487730,23187804,17735708,
180276,2555430,13552482,11702216,
180328,1073483,18335045,9958804,
180373,3159602,5814362,9974395,
180416,21198007,52203358,75158257,
180461,213516919,220347600,370498934,
180489,204929641,178299176,303949997,
180522,10377194,15582848,25271314,
180692,10390776,10552661,25724715,
180902,26951192,51350153,58786797,
180948,9415699,36674690,34176356,
181215,39851656,129171923,94317451,
181303,24627503,105014791,111810334,
181312,4614944,23961116,26712370,
181394,159097073,202801206,229816991,
181419,575736,5373671,3392755,
181428,96627916,830985657,503601292,
181464,439171820,963622573,921655780,
181491,19870061,64779241,48855580,
181534,5237755,39151847,21088915,
181640,4383597,86132293,100708344,
181747,22410274,103262111,52788257,
181765,471326,5666491,5981403,
181783,13600343,75756801,50328469,
181817,14351566,20935287,30723555,
182005,15865000,274021000,211713000,
182281,307041000,827754000,550286000,
182290,328353604,679339240,573486705,
182306,3355000,45516000,28216000,
182500,11601000,85783000,72718000,
182519,6484000,48697000,74090000,
182564,3198000,42986000,32850000,
183044,376260304,629241490,530641432,
183062,113283061,120715988,112710894,
183071,1185877,1998887,12980603,
183080,104187116,77774987,96441978,
183099,5081420,45506180,40322162,
183105,537513,10099832,10833822,
183114,555123,8647266,11994442,
